image,text
data/raw/newspaper/بنگلہ دیش کو اپنے چاروں گروپ میچز بھارت میں کھیلنے ہیں۔.png,بنگلہ دیش کو اپنے چاروں گروپ میچز بھارت میں کھیلنے ہیں۔
data/raw/newspaper/بنگلہ دیش.png,بنگلہ دیش
data/raw/newspaper/تجارتی جہاز.png,تجارتی جہاز
data/raw/newspaper/ترجمان.png,ترجمان
data/raw/newspaper/خطرناک.png,خطرناک
data/raw/newspaper/سسٹم میں خرابی.png,سسٹم میں خرابی
data/raw/newspaper/عبوری حکومت.png,عبوری حکومت
data/raw/newspaper/ناقابلِ قبول.png,ناقابلِ قبول
data/raw/newspaper/نماز جنازہ.png,نماز جنازہ
data/raw/newspaper/پاکستان ایئر پورٹ.png,پاکستان ایئر پورٹ
data/raw/newspaper/کلو میٹر.png,کلو میٹر
data/raw/other/ءقومی.png,ءقومی
data/raw/other/اباما.png,اباما
data/raw/other/ابراھیم.png,ابراھیم
data/raw/other/ابولش.png,ابولش
data/raw/other/ابھارنا.png,ابھارنا
data/raw/other/ابھنیو.png,ابھنیو
data/raw/other/ابھیمان.png,ابھیمان
data/raw/other/ابیدال.png,ابیدال
data/raw/other/ابیھا.png,ابیھا
data/raw/other/اتم.png,اتم
data/raw/other/اتھاہ.png,اتھاہ
data/raw/other/اثراث.png,اثراث
data/raw/other/اثرپڑے.png,اثرپڑے
data/raw/other/اثنانیب.png,اثنانیب
data/raw/other/اجتماع.png,اجتماع
data/raw/other/اجرام.png,اجرام
data/raw/other/اجمال.png,اجمال
data/raw/other/اجمعین.png,اجمعین
data/raw/other/اجپوت.png,اجپوت
data/raw/other/اجڑ.png,اجڑ
data/raw/other/اجینا.png,اجینا
data/raw/other/احتجا.png,احتجا
data/raw/other/احسنو.png,احسنو
data/raw/other/احمدبخش.png,احمدبخش
data/raw/other/احمدیوں.png,احمدیوں
data/raw/other/اخترخان.png,اخترخان
data/raw/other/اخترزیب.png,اخترزیب
data/raw/other/اختروہ.png,اختروہ
data/raw/other/اخرانوٹ.png,اخرانوٹ
data/raw/other/ادرن.png,ادرن
data/raw/other/ادو.png,ادو
data/raw/other/ادوانی.png,ادوانی
data/raw/other/آبادپر.png,آبادپر
data/raw/other/آبادکو.png,آبادکو
data/raw/other/آبادیات.png,آبادیات
data/raw/other/آبادیوں.png,آبادیوں
data/raw/other/آبجیکشن.png,آبجیکشن
data/raw/other/آبر.png,آبر
data/raw/other/آبلہ.png,آبلہ
data/raw/other/آبلے.png,آبلے
data/raw/other/آتشزد.png,آتشزد
data/raw/other/آتمچند.png,آتمچند
data/raw/other/آرڈرز.png,آرڈرز
data/raw/other/آساں.png,آساں
data/raw/other/آئس_لینڈ.png,آئس_لینڈ
data/raw/other/آئے.png,آئے
data/raw/other/آپریٹو.png,آپریٹو
data/raw/other/آڈھا.png,آڈھا
data/raw/other/آڈیٹ.png,آڈیٹ
data/raw/other/آیئے.png,آیئے
data/raw/books/ab mujhyzindagi sy koi shiqayat ni.png,اب مجھے زندگی سے کوئی شکایت نہیں
data/raw/books/apny gunnah nzr ana bhi ek imtehan hai.png,اپنے گناہ نظر آنا بھی ایک امتحان ہے
data/raw/books/book1.png,بے حد سادہ لہجے میں کہا۔
data/raw/books/book2.png,خواہش کی وجہ
data/raw/books/book3.png,کیونکہ اللہ تعالیٰ ہر اس چیز سے بڑا ہے جس سے ہم ڈرتے ہیں
data/raw/books/gari ka horn sunai dia.png,گاڑی کا ہارن سنائی دیا
data/raw/books/insaan qabil e etibaar ni hoty.png,انسان قابلِ اعتبار نہیں ہوتے
data/raw/books/izat enafs sy upr koi chez ni hoti.png,عزتِ نفس سے اوپر کوئی شے نہیں ہوتی
data/raw/books/mai kuch bhi zaya nhi kr rha hu.png,میں کچھ بھی ضائع نہیں کر رہا ہوں
data/raw/books/phr usy bhuul jao.png,پھر اسے بھول جاؤ
data/raw/books/usy dekhna mushkil higia.png,اسے دیکھنا مشکل ہوگیا
data/raw/books/wo khamoshi sy dekhti rhi.png,وہ خاموشی سے دیکھتی رہی
data/raw/books/wo phir sy ro dyny ko thi.png,وہ پھر سے رو دینے کو تھی
data/raw/books/zindagi niyat or irady ka khel h.png,زندگی نیت اور ارادے کا کھیل ہے
data/raw/signboards/agy rasta bnd hai.jpg,آگے راستہ بند ہے
data/raw/signboards/ch lehnga saree house.jpg,چودھری لہنگا ساڑھی ہاؤس
data/raw/signboards/phuul torna mna hai.jpg,پھول توڑنا منع ہے
data/raw/signboards/railway phatak.jpg,ریلوے فاٹک
data/raw/signboards/shehzad general store.png,شہزاد جنرل اسٹور
data/raw/signboards/upar jana mna hai.jpg,اوپر جانا منع ہے
data/raw/synthetic/synthetic_001.png,پاکستان زندہ باد
data/raw/synthetic/synthetic_002.png,آج کا موسم خوشگوار ہے
data/raw/synthetic/synthetic_003.png,تعلیم ہر انسان کا حق ہے
data/raw/synthetic/synthetic_004.png,کراچی پاکستان کا سب سے بڑا شہر ہے
data/raw/synthetic/synthetic_005.png,محنت کامیابی کی کنجی ہے
data/raw/synthetic/synthetic_006.png,علم انسان کی سب سے بڑی دولت ہے
data/raw/synthetic/synthetic_007.png,پانی زندگی کے لیے ضروری ہے
data/raw/synthetic/synthetic_008.png,کتاب انسان کی بہترین دوست ہے
data/raw/synthetic/synthetic_009.png,وقت کی قدر کرنی چاہیے
data/raw/synthetic/synthetic_010.png,صحت ہزار نعمت ہے
